9,ARMY,Department of Army,1894616,22528664,24423280,5804257,30227537,3513717.59366951,199587907.31174,203101624.905409,46444909.7023952,249451569.267397,23655,23614,47269,10114,57383,80.0936799830903,954.038451765902,516.687046478665,573.883428910421,526.768154331422,148.540164602389,8452.100758522,4296.71930663669,4592.14056776698,4347.1336330864,0.155013911281396,0.713509700176367,0.00232839535380141,2.81369406392321,56.6738765546745
13067,BBG,Broadcasting Board of Governors,68,3959,4027,157,4184,126.111462828756,35073.91849988,35200.0299627087,1266.32779390387,36462.9493380848,5,23,28,4,32,13.6,172.130434782609,143.821428571429,39.25,130.75,25.2222925657513,1524.9529782556,1257.14392723959,316.581948475968,1139.46716681515,0.0945617084678418,0.0540540540540541,0,0.209059097881665,0
406,CPSC,Consumer Product Safety Commission,1044,20886,21930,245,22175,1936.1818742588,185035.07496552,186971.256839778,1976.11662100125,188895.044218372,34,56,90,1,91,30.7058823529412,372.964285714286,243.666666666667,245,243.681318681319,56.9465257134943,3304.1977672414,2077.45840933087,1976.11662100125,2075.76971668541,0.126015933049006,1,0,1.846075,0
60392,CSOSA,Court Services and Offender Supervision Agency,1929,8990,10919,5,10924,3577.48548354313,79644.9930068,83222.4784903431,40.3289023252523,83166.1185956715,13,63,76,0,76,148.384615384615,142.698412698413,143.671052631579,NULL,143.736842105263,275.191191041779,1264.2062382031,1095.03261171504,NULL,1094.29103415357,1.03280801989475,0,0,0,0
7,DA,Defense Agencies,91301,1477275,1568576,350347,1918923,169325.03996744,13087603.675653,13256928.7156204,2810545.48403816,16062897.8472063,2490,2179,4669,812,5481,36.6670682730924,677.960073428178,335.955450846006,431.461822660099,350.104542966612,68.0020240833093,6006.2430819885,2839.35076367968,3461.26291137704,2930.65094822228,0.109142650255434,0.621270084162204,0,2.83568203974947,36.0007254102162
10,DAF,Department of Air Force,1404805,8884800,10289605,3913849,14203454,2605323.74073647,78712995.980736,81318319.7214724,29747862.3928616,110995767.959178,11565,14761,26326,12512,38838,121.470384781669,601.910439672109,390.853338904505,312.807624680307,365.710232246769,225.276588044658,5332.4975259627,3088.89765712498,2377.54654674405,2857.91667848958,0.31078251786752,0.778303060462802,0,1.91944076936802,438.060786290472
52888,DHS,Department of Homeland Security,602601,31463400,32066001,3291265,35357266,1117571.96994983,278743300.664088,279860872.634037,26545752.8981809,306376420.884369,19146,28408,47554,4582,52136,31.4739893450329,1107.55421008167,674.307124532111,718.303142732431,678.173737916219,58.3710419904856,9812.1409695891,5885.11739567728,5793.48601007877,5876.48497936876,0.0466760444906646,0.99500542888165,0,5.37904174592079,0.0303904919147311
8,DOA,Department of Agriculture,320316,18773384,19093700,3009209,22102909,594051.757422344,166318802.82469,166912854.582113,24272362.2508733,191169161.380057,13456,23010,36466,3484,39950,23.8046967895363,815.879356801391,523.602808095212,863.722445464983,553.264305381727,44.1477227573086,7228.1096403603,4577.21863056307,6966.80891242059,4785.21054768605,0.0454632718188319,1.00781024009257,0,6.61113082277251,0.129484847824546
11,DOC,Department of Commerce,68060,722951,791011,76029,867040,126222.738195114,6404830.62728132,6531053.36547643,612871.855294254,7140513.79541117,874,827,1701,155,1856,77.8718535469108,874.185006045949,465.027042915932,490.509677419355,467.155172413793,144.419608918895,7744.656139397,3839.53754584152,3954.01196964035,3847.25958804481,0.167456612971621,0.96875,0,3.39866175,0
12,DOE,Department of Energy,1593408,3563821,5157229,3115747,8272976,2955103.15741688,31572914.1960497,34528017.3534666,24006400.2730316,58454549.9735835,6895,4147,11042,2960,14002,231.096156635243,859.373281890523,467.055696431806,1052.61722972973,590.842451078417,428.586389763144,7613.4348193994,3126.97132344381,8110.27036251069,4174.72860831191,0.494793572588371,1.02209944751381,24.8086876217615,7.8382851299945,1861.11011746701
412,DOED,Department of Education,3796,44735,48531,0,48531,7039.98698454378,396320.2182602,403360.205244743,0,403169.935325484,51,42,93,0,93,74.4313725490196,1065.11904761905,521.838709677419,NULL,521.838709677419,138.03896048125,9436.1956728619,4337.20650800799,NULL,4335.16059489768,0.142632907771503,0,0,0,0
15,DOI,Department of the Interior,307540,12692780,13000320,4449499,17449819,570357.638985045,112448984.909549,113019342.548534,35772469.4579094,148776396.935107,8687,17745,26432,7063,33495,35.4023253136871,715.287686672302,491.8401937046,629.972957666714,520.967875802359,65.6564566576545,6336.939132688,4275.85285065582,5064.76985104197,4441.74942334997,0.0719793253313286,1.02540650406504,6.45654880001488,4.48194201936707,336.600153553277
16,DOJ,Department of Justice,1842249,18477753,20320002,1111430,21431432,3416598.78484468,163699722.854991,167116321.639836,8932406.80194577,175956387.934069,11725,27254,38979,2395,41374,157.12144989339,677.983158435459,521.306395751559,464.062630480167,517.992749069464,291.394352651999,6006.4475987008,4287.34245721636,3729.60618035314,4252.82515430148,0.301399428769468,0.953803265631223,0,3.26353724970544,57.7368136480082
17,DOL,Department of Labor,124393,2271310,2395703,472443,2868146,230696.812756359,20122187.8827892,20352884.6955455,3698336.86649605,24044986.5130525,2097,1401,3498,498,3996,59.3195040534096,1621.20628122769,684.877930245855,948.680722891566,717.754254254254,110.012786245283,14362.7322503848,5818.43473286036,7426.37924999207,6017.2638921553,0.086613250965928,1.00403225806452,87.1944548818388,6.98795825267462,4.63033893821681
23,EEOC,Equal Employment Opportunity Commission,159,20775,20934,0,20934,294.878272986269,184051.694073,184346.572345986,0,184338.60266351,41,40,81,0,81,3.8780487804878,519.375,258.444444444444,NULL,258.444444444444,7.19215299966511,4601.292351825,2275.8836092097,NULL,2275.78521806802,0.0150053478178806,0,0,0,0
